"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2113]DH17039","2","0","2","70","1","46","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2114]DH17042","0","0","0","8","1","43","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2114]DH17042","1","0","1","157","8","65","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2114]DH17042","2","0","2","68","9","32","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2115]DH17056","0","0","0","255","11","57","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2115]DH17056","1","0","1","20","1","37","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2115]DH17056","2","0","2","221","8","28","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2118]DH17285","0","0","0","35","7","63","9"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2118]DH17285","1","0","1","38","16","95","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2118]DH17285","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2119]DH17041","0","0","0","37","6","57","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2119]DH17041","1","0","1","3","1","18","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2119]DH17041","2","0","2","36","4","76","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2124]DH17092","0","0","0","8","4","48","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2124]DH17092","1","0","1","9","20","56","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2124]DH17092","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2126]DH17094","0","0","0","1","0","13","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2126]DH17094","1","0","1","21","0","32","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2126]DH17094","2","0","2","3","0","3","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2127]DH17059","0","0","0","17","4","32","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2127]DH17059","1","0","1","59","13","55","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2127]DH17059","2","0","2","6","0","32","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2129]DH17060","0","0","0","52","1","54","3"
